City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
166,Malakal,SS,2020-06-18 19:51:42,9.53,31.66,70.38,92,100,0.96
167,Waingapu,ID,2020-06-18 19:50:11,-9.66,120.26,75.22,84,3,11.18
168,Denpasar,ID,2020-06-18 19:58:34,-8.65,115.22,80.6,94,20,20.8
169,Lorengau,PG,2020-06-18 19:50:19,-2.02,147.27,81.77,80,30,9.06
170,Arraial Do Cabo,BR,2020-06-18 19:57:42,-22.97,-42.03,75.2,64,10,16.11
171,Lagoa,PT,2020-06-18 19:51:16,39.05,-27.98,65.19,90,2,12.48
172,Dunedin,NZ,2020-06-18 19:50:26,-45.87,170.5,44.01,75,62,10.0
173,Kuloy,RU,2020-06-18 19:58:35,61.03,42.49,55.24,69,0,6.31
174,Dondo,MZ,2020-06-18 19:58:35,-19.61,34.74,66.2,93,75,8.05
175,Bjornevatn,NO,2020-06-18 19:58:35,69.67,29.98,53.6,62,61,9.17
176,Isangel,VU,2020-06-18 19:51:41,-19.55,169.27,66.2,100,20,11.63
177,Dakar,SN,2020-06-18 19:58:36,14.69,-17.44,82.4,88,0,16.11
178,Camopi,GF,2020-06-18 19:58:36,3.17,-52.32,78.75,94,100,3.67
179,Pevek,RU,2020-06-18 19:50:00,69.7,170.31,40.55,73,0,10.27
180,Iquitos,PE,2020-06-18 19:58:36,-3.75,-73.25,86.0,70,75,5.82
181,Pitman,US,2020-06-18 19:54:09,39.73,-75.13,81.0,61,40,8.05
182,Praia,CV,2020-06-18 19:51:02,14.92,-23.51,84.2,54,0,26.4
183,Lavrentiya,RU,2020-06-18 19:50:52,65.58,-171.0,50.95,59,0,3.98
184,Henties Bay,NA,2020-06-18 19:51:46,-22.12,14.28,73.0,48,0,8.1
185,Kununurra,AU,2020-06-18 19:58:37,-15.77,128.73,60.8,39,0,3.36
186,Jacmel,HT,2020-06-18 19:58:37,18.23,-72.53,89.6,59,75,17.22
187,Scarborough,GB,2020-06-18 19:58:38,54.28,-0.4,57.0,96,100,7.07
188,Little Current,CA,2020-06-18 19:58:38,45.98,-81.92,79.0,45,0,4.0
189,Xuddur,SO,2020-06-18 19:58:38,4.12,43.89,74.34,78,1,19.46
190,Lumphat,KH,2020-06-18 19:58:38,13.49,106.98,73.78,96,0,1.86
191,Dingle,PH,2020-06-18 19:49:56,11.0,122.67,75.81,92,100,5.61
192,Vao,NC,2020-06-18 19:50:37,-22.67,167.48,71.67,78,87,15.75
193,Kavieng,PG,2020-06-18 19:57:32,-2.57,150.8,82.47,72,31,4.09
194,Portland,US,2020-06-18 19:57:57,45.52,-122.68,73.99,61,23,1.01
195,Ribeira Grande,PT,2020-06-18 19:46:04,38.52,-28.7,64.4,88,75,9.17
196,Tecoanapa,MX,2020-06-18 19:58:40,16.52,-98.75,88.7,60,54,13.0
197,Laguna,US,2020-06-18 19:50:12,38.42,-121.42,91.99,14,1,8.05
198,Nome,US,2020-06-18 19:58:40,64.5,-165.41,64.0,67,1,11.41
199,Gravelbourg,CA,2020-06-18 19:58:40,49.88,-106.55,52.48,66,96,13.76
200,Januaria,BR,2020-06-18 19:58:41,-15.48,-44.37,76.75,47,0,3.0
201,Poplar Bluff,US,2020-06-18 19:58:41,36.76,-90.39,86.0,39,40,4.7
202,Damavand,IR,2020-06-18 19:58:41,35.72,52.06,86.0,15,0,4.7
203,Katsuura,JP,2020-06-18 19:51:25,35.13,140.3,68.0,93,75,5.82
204,Puerto Narino,CO,2020-06-18 19:58:41,-3.77,-70.38,87.8,70,40,3.36
205,Khatanga,RU,2020-06-18 19:50:30,71.97,102.5,52.07,61,55,11.88
206,Ribas Do Rio Pardo,BR,2020-06-18 19:58:42,-20.44,-53.76,82.24,44,22,7.38
207,Vaini,TO,2020-06-18 19:46:01,-21.2,-175.2,69.8,83,20,9.17
208,El Cope,PA,2020-06-18 19:58:42,8.62,-80.6,87.8,79,40,5.82
209,Codajas,BR,2020-06-18 19:58:42,-3.84,-62.06,84.63,84,98,2.15
210,Los Llanos De Aridane,ES,2020-06-18 19:50:51,28.66,-17.92,73.4,78,20,13.87
211,Beckley,US,2020-06-18 19:54:27,37.78,-81.19,64.4,100,90,6.93
212,Severo-Kurilsk,RU,2020-06-18 19:50:15,50.68,156.12,42.46,86,82,8.81
213,Saldanha,ZA,2020-06-18 19:46:28,-33.01,17.94,59.0,54,0,4.7
214,Kruisfontein,ZA,2020-06-18 19:46:16,-34.0,24.73,57.04,44,0,6.49
215,Camacha,PT,2020-06-18 19:49:57,33.08,-16.33,69.8,83,20,9.17
216,Bodaybo,RU,2020-06-18 19:58:44,57.85,114.19,46.35,84,0,1.03
217,Aksu,CN,2020-06-18 19:58:44,41.12,80.26,77.85,25,100,4.09
218,Tilichiki,RU,2020-06-18 19:51:18,60.47,166.1,56.01,71,0,3.15
219,Altamira,BR,2020-06-18 19:49:51,-3.2,-52.21,89.6,55,40,6.93
220,De-Kastri,RU,2020-06-18 19:58:44,51.47,140.78,45.32,93,100,7.47
221,Quelimane,MZ,2020-06-18 19:58:45,-17.88,36.89,69.8,83,75,6.93
222,Barcelos,PT,2020-06-18 19:58:45,41.54,-8.62,64.99,77,0,10.29
223,Castro,BR,2020-06-18 19:58:45,-24.79,-50.01,63.64,81,100,5.86
224,Aksarka,RU,2020-06-18 19:51:54,66.56,67.8,38.21,76,56,6.17
225,Barra Do Garcas,BR,2020-06-18 19:58:46,-15.89,-52.26,87.8,52,76,5.82
226,Mondovi,IT,2020-06-18 19:58:46,44.4,7.82,66.2,88,40,8.05
227,Middle Island,US,2020-06-18 19:57:49,40.88,-72.94,77.0,73,75,6.93
228,Haines Junction,CA,2020-06-18 19:50:15,60.75,-137.51,62.11,45,100,2.93
229,Manggar,ID,2020-06-18 19:58:47,-2.88,108.27,77.92,91,100,9.17
230,Muravlenko,RU,2020-06-18 19:58:47,63.79,74.52,38.25,74,0,10.85
231,Muros,ES,2020-06-18 19:58:47,42.78,-9.06,64.0,66,0,5.99
232,Puerto Del Rosario,ES,2020-06-18 19:51:06,28.5,-13.86,73.4,78,40,11.41
233,Chapada Dos Guimaraes,BR,2020-06-18 19:54:14,-15.46,-55.75,91.4,31,22,6.93
234,Man,CI,2020-06-18 19:58:48,7.41,-7.55,72.52,94,76,4.14
235,Port Blair,IN,2020-06-18 19:50:07,11.67,92.75,82.83,83,99,11.9
236,Wad Madani,SD,2020-06-18 19:58:48,14.4,33.52,91.42,42,54,25.39
237,Kaitangata,NZ,2020-06-18 19:50:32,-46.28,169.85,40.91,83,39,10.18
238,Minot,US,2020-06-18 19:57:12,48.23,-101.3,57.2,62,90,18.34
239,Cidreira,BR,2020-06-18 19:49:55,-30.18,-50.21,72.48,72,62,7.29
240,Tucuman,AR,2020-06-18 19:55:15,-26.82,-65.22,71.6,28,33,5.82
241,Omsukchan,RU,2020-06-18 19:58:49,62.53,155.8,63.43,43,100,1.43
242,State College,US,2020-06-18 19:56:23,40.79,-77.86,78.01,60,40,9.17
243,Plettenberg Bay,ZA,2020-06-18 19:58:50,-34.05,23.37,63.54,43,0,8.01
244,Tobermory,CA,2020-06-18 19:58:50,45.25,-81.67,79.0,45,0,4.0
245,Djibo,BF,2020-06-18 19:51:08,14.1,-1.63,96.58,31,100,5.46
246,Mehamn,NO,2020-06-18 19:51:52,71.04,27.85,42.8,87,75,24.16
247,Kawalu,ID,2020-06-18 19:58:50,-7.38,108.21,73.02,92,92,1.9
