City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
277,Muros,ES,64.0,42.78,-9.06,Apartment Av. Castelao
281,Port Alfred,ZA,66.0,-33.59,26.89,The Halyards Hotel
283,Taltal,CL,64.09,-25.4,-70.48,Residencial Karime
284,Chokurdakh,RU,81.91,70.63,147.92,
285,Slobodskoy,RU,61.99,58.73,50.18,Victoria Village
287,Sungaipenuh,ID,64.31,-2.08,101.38,Hotel Jaya Wisata 2
288,Mandalgovi,MN,63.93,45.76,106.27,В.Ганбат
289,Amla,IN,78.91,21.93,78.12,L l ganeshkar
290,Hamilton,US,89.01,39.18,-84.53,Six Acres Bed & Breakfast
292,Presidente Medici,BR,86.83,-11.18,-61.9,Oliveira Palace Hotel
293,Tabou,CI,77.59,4.42,-7.35,hotêl doufoulougou
295,Bathsheba,BB,86.0,13.22,-59.52,Atlantis Hotel
298,Lincoln,US,73.4,40.8,-96.67,Courtyard by Marriott Lincoln Downtown/Haymarket
299,Aborlan,PH,79.72,9.44,118.55,Kevina Transient House
301,Norman Wells,CA,71.6,65.28,-126.83,Heritage Hotel
302,San Quintin,MX,68.41,30.48,-115.95,Old Mill Hotel
303,Porto Novo,BJ,80.6,6.5,2.6,Tour Eiffel Hotel Benin
305,Georgetown,MY,80.01,5.41,100.34,Cititel Penang
306,Demerval Lobao,BR,89.6,-5.36,-42.68,Resort Leite & Nara
307,Balkanabat,TM,91.71,39.51,54.37,Nebitchi Hotel
309,Bambanglipuro,ID,76.6,-7.95,110.28,Puri Brata
310,Tessalit,ML,98.4,20.2,1.01,
311,Tayu,ID,76.71,-6.54,111.05,Toko pakaian bu is Tayu
312,Tarnow,PL,63.0,50.01,20.99,Hotel Tarnovia
313,Sinnamary,GF,82.49,5.38,-52.95,ALETHEIA Appartement Sinnamary
314,Namibe,AO,72.14,-15.2,12.15,Hotel Chik Chik Namibe
317,Kihei,US,82.4,20.79,-156.47,Maui Sunset
318,Fort Nelson,CA,78.8,58.81,-122.7,The Fort Nelson Hotel
320,Tabas,IR,100.4,33.6,56.92,شرکت معماری مهراز شایگان آراد
321,Mlonggo,ID,76.87,-6.53,110.7,Asia Metal Art
324,Forio,IT,72.0,40.73,13.86,Hotel Terme Providence
325,Hami,CN,78.31,42.8,93.45,Laoyutang Resort
327,Portland,US,84.0,45.52,-122.68,Portland Marriott City Center
329,Neiafu,TO,77.0,-18.65,-173.98,Mystic Sands
332,Saint-Joseph,RE,69.8,-21.37,55.62,"""Plantation Bed and Breakfast"
333,Zhangye,CN,77.77,38.93,100.45,Zhangye Lvzhou Holiday Inn
334,Alexandria,EG,73.4,31.22,29.96,Mediterranean Azur Hotel
335,Mopti,ML,95.05,14.67,-4.0,
337,Sulangan,PH,82.49,11.14,123.72,Maia's Beach Resort
338,Banjar,ID,80.6,-8.19,114.97,The Hamsa Resort
