City_ID,City,Country,Lat,Lng,Current Description,Rain (inches),Snow (inches),Max Temp,Humidity,Cloudiness,Wind Speed
87,Port Blair,IN,11.67,92.75,light rain,0.4,0.4,83.01,82,100,10.58
88,Adre,TD,13.47,22.2,scattered clouds,0.0,0.0,84.61,43,40,6.62
89,Clyde River,CA,70.47,-68.59,few clouds,0.0,0.0,33.8,68,20,13.87
90,Yulara,AU,-25.24,130.99,clear sky,0.0,0.0,44.6,65,0,6.93
91,Saskylakh,RU,71.92,114.08,clear sky,0.0,0.0,69.93,46,0,6.71
92,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,moderate rain,1.63,1.63,82.0,90,99,1.54
93,Carnarvon,AU,-24.87,113.63,clear sky,0.0,0.0,55.4,87,0,8.05
94,Kudahuvadhoo,MV,2.67,72.89,light rain,0.16,0.16,83.86,76,96,9.57
95,Srednekolymsk,RU,67.45,153.68,clear sky,0.0,0.0,79.95,30,0,9.57
96,Mezen,RU,65.85,44.24,overcast clouds,0.0,0.0,41.74,74,95,13.89
97,Dikson,RU,73.51,80.55,clear sky,0.0,0.0,34.72,88,0,4.74
98,Hailar,CN,49.2,119.7,light rain,0.66,0.66,59.22,91,100,6.51
99,Fengzhen,CN,40.44,113.15,few clouds,0.0,0.0,65.19,63,16,4.68
100,Saldanha,ZA,-33.01,17.94,clear sky,0.0,0.0,62.6,63,0,3.36
101,Chuy,UY,-33.7,-53.46,light rain,0.9,0.9,59.31,82,92,9.01
102,Homer,US,59.64,-151.55,clear sky,0.0,0.0,57.2,50,1,8.05
103,Mandurah,AU,-32.55,115.7,clear sky,0.0,0.0,46.0,99,0,13.58
104,Taoudenni,ML,22.68,-3.98,scattered clouds,0.0,0.0,104.56,11,45,11.56
105,Bulgan,MN,48.81,103.53,overcast clouds,0.0,0.0,54.1,83,89,0.98
106,Champerico,GT,14.3,-91.92,scattered clouds,0.0,0.0,91.4,66,40,16.11
107,Jimma,ET,7.67,36.83,broken clouds,0.0,0.0,58.62,87,69,2.08
108,Victoria,HK,22.29,114.16,overcast clouds,0.0,0.0,84.0,74,98,7.78
109,Nome,US,64.5,-165.41,clear sky,0.0,0.0,70.0,67,1,9.17
110,Omboue,GA,-1.57,9.26,scattered clouds,0.0,0.0,72.73,90,40,5.3
111,Ponta Do Sol,PT,32.67,-17.1,broken clouds,0.0,0.0,69.8,77,75,12.75
112,Cabo San Lucas,MX,22.89,-109.91,clear sky,0.0,0.0,89.6,38,5,5.82
113,Vostok,RU,46.49,135.88,scattered clouds,0.0,0.0,44.31,99,41,1.45
114,Caravelas,BR,-17.71,-39.25,clear sky,0.0,0.0,74.89,80,0,6.87
115,Cape Town,ZA,-33.93,18.42,few clouds,0.0,0.0,63.0,82,20,6.93
116,Denizli,TR,37.84,29.07,few clouds,0.0,0.0,59.0,77,20,3.36
117,Yaan,NG,7.38,8.57,overcast clouds,0.0,0.0,72.88,88,97,2.35
118,Road Town,VG,18.42,-64.62,scattered clouds,0.0,0.0,87.8,66,40,10.29
119,Pevek,RU,69.7,170.31,few clouds,0.0,0.0,41.7,67,12,9.82
120,Puerto Ayora,EC,-0.74,-90.35,scattered clouds,0.0,0.0,80.6,61,40,24.16
121,San Cristobal,VE,7.77,-72.22,few clouds,0.0,0.0,93.2,41,20,25.28
122,Hobart,AU,-42.88,147.33,overcast clouds,0.0,0.0,43.0,93,88,5.82
123,Esperance,AU,-33.87,121.9,broken clouds,0.0,0.0,46.4,93,75,4.7
124,Komsomolskiy,UZ,40.43,71.72,clear sky,0.0,0.0,69.8,43,0,6.93
125,Manzil Salim,TN,35.86,8.48,scattered clouds,0.0,0.0,66.2,63,40,17.22
126,Victor Harbor,AU,-35.57,138.62,few clouds,0.0,0.0,51.01,95,13,12.88
127,Itarema,BR,-2.92,-39.92,light rain,0.26,0.26,79.81,84,56,12.46
128,Kyren,RU,51.68,102.14,moderate rain,1.06,1.06,54.73,80,98,1.66
129,Mayumba,GA,-3.43,10.66,overcast clouds,0.0,0.0,73.38,88,98,3.2
130,East London,ZA,-33.02,27.91,clear sky,0.0,0.0,66.78,35,0,6.13
131,College,US,64.86,-147.8,light rain,0.51,0.51,57.2,87,90,8.05
132,Ardakan,IR,32.31,54.02,few clouds,0.0,0.0,96.8,8,20,6.93
133,Barrow,US,71.29,-156.79,mist,0.0,0.0,35.6,93,90,6.93
134,Garoua,CM,9.3,13.4,moderate rain,3.13,3.13,82.4,74,100,4.7
135,Iqaluit,CA,63.75,-68.51,overcast clouds,0.0,0.0,41.0,75,90,11.41
136,Tiksi,RU,71.69,128.87,clear sky,0.0,0.0,62.01,51,0,5.5
137,Beberibe,BR,-4.18,-38.13,few clouds,0.0,0.0,84.2,62,20,12.75
138,Prabumulih,ID,-3.45,104.25,overcast clouds,0.0,0.0,72.32,97,100,2.64
139,Lebu,CL,-37.62,-73.65,light rain,0.24,0.24,53.94,85,84,11.97
140,Deputatskiy,RU,69.3,139.9,clear sky,0.0,0.0,71.38,36,0,2.73
141,Fairbanks,US,64.84,-147.72,light rain,0.59,0.59,57.2,93,90,10.29
142,Grand Gaube,MU,-20.01,57.66,overcast clouds,0.0,0.0,72.0,68,89,11.01
143,Faanui,PF,-16.48,-151.75,broken clouds,0.0,0.0,80.02,77,80,4.14
144,Cockburn Town,TC,21.46,-71.14,scattered clouds,0.0,0.0,83.19,79,38,16.89
145,Gat,IL,31.61,34.76,few clouds,0.0,0.0,75.2,73,20,8.05
146,Mahibadhoo,MV,3.78,72.97,overcast clouds,0.0,0.0,83.84,78,99,8.93
147,Kodiak,US,57.79,-152.41,light rain,0.0,0.0,53.6,76,90,11.41
148,Salalah,OM,17.02,54.09,few clouds,0.0,0.0,82.4,88,20,5.82
149,Bandarbeyla,SO,9.49,50.81,overcast clouds,0.0,0.0,81.46,71,100,28.54
150,Posse,BR,-14.09,-46.37,clear sky,0.0,0.0,78.3,43,0,4.41
151,Bethel,US,41.37,-73.41,few clouds,0.0,0.0,84.0,54,20,5.82
152,Contamana,PE,-7.33,-75.02,clear sky,0.0,0.0,95.13,36,3,1.66
153,Alofi,NU,-19.06,-169.92,broken clouds,0.0,0.0,75.2,69,75,11.41
154,Aksu,CN,41.12,80.26,broken clouds,0.0,0.0,67.98,34,76,7.56
155,Cidreira,BR,-30.18,-50.21,overcast clouds,0.0,0.0,64.17,88,96,11.81
156,Kavieng,PG,-2.57,150.8,light rain,0.17,0.17,82.17,77,6,6.13
157,Tokur,RU,53.13,132.9,broken clouds,0.0,0.0,44.29,89,84,2.33
158,Lavrentiya,RU,65.58,-171.0,scattered clouds,0.0,0.0,53.29,43,46,9.24
159,Flinders,AU,-34.58,150.86,light rain,0.51,0.51,59.0,90,0,1.01
160,Vangaindrano,MG,-23.35,47.6,light rain,0.41,0.41,67.14,86,99,6.89
161,Ilulissat,GL,69.22,-51.1,few clouds,0.0,0.0,55.4,30,20,17.22
162,Zandak,RU,43.06,46.46,light rain,0.15,0.15,63.27,68,100,3.69
163,Goderich,CA,43.75,-81.72,light rain,0.17,0.17,81.0,68,40,6.31
164,Aklavik,CA,68.22,-135.01,light rain,0.0,0.0,51.8,87,90,11.41
165,Vung Tau,VN,10.35,107.08,moderate rain,1.73,1.73,82.02,80,100,4.83
166,Khatanga,RU,71.97,102.5,overcast clouds,0.0,0.0,50.99,68,100,12.57
167,Yanji,CN,42.91,129.51,overcast clouds,0.0,0.0,52.84,90,91,1.92
168,Oromocto,CA,45.84,-66.48,clear sky,0.0,0.0,97.0,28,1,8.05
169,Lalganj,IN,25.87,85.18,thunderstorm with light rain,0.0,0.0,77.0,100,75,2.24
170,Puerto Escondido,MX,15.85,-97.07,scattered clouds,0.0,0.0,84.2,70,40,6.93
171,North Branch,US,45.51,-92.98,overcast clouds,0.0,0.0,78.01,59,100,7.0
172,Kitob,UZ,39.08,66.83,clear sky,0.0,0.0,73.4,21,0,5.93
173,Nanortalik,GL,60.14,-45.24,light rain,0.67,0.67,38.98,90,100,8.1
174,Malinyi,TZ,-8.93,36.13,scattered clouds,0.0,0.0,70.25,60,38,1.74
175,Bad Hofgastein,AT,47.17,13.1,light rain,0.66,0.66,51.01,96,100,3.53
176,Shingu,JP,33.73,135.98,overcast clouds,0.0,0.0,63.46,87,100,5.57
